key,value
auth.signInWithEmail,Đăng nhập bằng email
auth.emailSignInTitle,ĐĂNG NHẬP
auth.emailSignInSubtitle,Nhập email và mật khẩu của bạn
auth.registerTitle,TẠO TÀI KHOẢN
auth.registerSubtitle,Đăng ký bằng email và mật khẩu
auth.emailLabel,Email
auth.emailPlaceholder,you@example.com
auth.passwordLabel,Mật khẩu
auth.passwordPlaceholder,
auth.confirmPasswordLabel,Xác nhận mật khẩu
auth.confirmPasswordPlaceholder,
auth.displayNameLabel,Tên hiển thị
auth.displayNamePlaceholder,Tên hiển thị của bạn
auth.phoneLabel,Số điện thoại
auth.phonePlaceholder,+84…
auth.dateOfBirthLabel,Ngày sinh
auth.errorDisplayNameRequired,Vui lòng nhập tên hiển thị.
auth.errorDisplayNameMax,Tên hiển thị tối đa 50 ký tự.
auth.errorPhoneRequired,Vui lòng nhập số điện thoại.
auth.errorDateOfBirthRequired,Vui lòng chọn ngày sinh.
auth.errorDateOfBirthMinAge,Bạn phải từ 16 tuổi trở lên.
auth.showPassword,Hiện mật khẩu
auth.hidePassword,Ẩn mật khẩu
auth.emailSignInSubmit,Đăng nhập
auth.registerSubmit,Tạo tài khoản
auth.dontHaveAccount,Chưa có tài khoản?
auth.createAccountLink,Tạo tài khoản
auth.alreadyHaveAccount,Đã có tài khoản?
auth.errorSignInFailed,Đăng nhập thất bại. Vui lòng thử lại.
auth.errorNotAuthorized,Tài khoản Google này chưa được cấp quyền sử dụng Fanation.
auth.errorNetwork,Không thể kết nối máy chủ. Kiểm tra mạng và thử lại.
auth.errorInvalidCredentials,Email hoặc mật khẩu không đúng.
auth.errorInvalidEmail,Vui lòng nhập email hợp lệ.
auth.errorEmailInUse,Email này đã được đăng ký.
auth.errorWeakPassword,Mật khẩu phải có ít nhất 6 ký tự.
auth.errorTooManyRequests,Quá nhiều lần thử. Vui lòng thử lại sau.
auth.errorEmailRequired,Vui lòng nhập email.
auth.errorEmailFormat,Vui lòng nhập email hợp lệ.
auth.errorPasswordRequired,Vui lòng nhập mật khẩu.
auth.errorPasswordMin,Mật khẩu phải có ít nhất 6 ký tự.
auth.errorConfirmPasswordRequired,Vui lòng xác nhận mật khẩu.
auth.errorConfirmPasswordMismatch,Mật khẩu không khớp.
auth.consentAge,Tôi đã đủ 16 tuổi trở lên.
auth.consentTermsPrefix,Tôi đã đọc và đồng ý với
auth.consentTermsLink,Thỏa thuận cung cấp và sử dụng mạng xã hội
auth.consentPrivacyPrefix,Tôi đã đọc và đồng ý với
auth.consentPrivacyLink,Chính sách thu thập và sử dụng dữ liệu cá nhân trên Fanation
auth.errorConsentRequired,Vui lòng đồng ý tất cả các điều khoản để tiếp tục.
auth.otpTitle,Xác minh tài khoản
auth.otpHeadline,Nhập mã xác minh
auth.otpBodyBefore,Vui lòng nhập mã OTP gồm 6 chữ số đã gửi qua SMS tới số điện thoại 
auth.otpBodyAfter,
auth.otpResendPrompt,Bạn chưa nhận được mã?
auth.otpResendAction,Gửi lại OTP
auth.otpConfirm,Xác nhận
idolPortal.welcome.logoTitle,FANATION
idolPortal.welcome.logoSubtitle,Chào mừng đến với thế giới FANATION
idolPortal.welcome.platformLabel,Tài khoản được cấp bởi FANATION PLATFORM
idolPortal.welcome.accountType,Tài khoản quản lý
idolPortal.welcome.unitLabel,Đơn vị: {{unit}}
idolPortal.welcome.artistLabel,Thần tượng: {{artist}}
idolPortal.welcome.subtitle,Tài khoản đã được tạo sẵn bởi quản trị viên. Thiết lập hồ sơ thần tượng để bắt đầu.
idolPortal.welcome.setupProfile,Thiết lập hồ sơ
idolPortal.profileSetup.title,Thiết lập hồ sơ
idolPortal.profileSetup.avatarLabel,Ảnh đại diện thần tượng *
idolPortal.profileSetup.avatarA11y,Chọn ảnh đại diện thần tượng
idolPortal.profileSetup.addCover,Thêm ảnh bìa
idolPortal.profileSetup.changeCover,Đổi ảnh bìa
idolPortal.profileSetup.stageNameLabel,Tên nghệ danh *
idolPortal.profileSetup.stageNamePlaceholder,
idolPortal.profileSetup.fandomNameLabel,Tên Fandom
idolPortal.profileSetup.fandomNamePlaceholder,
idolPortal.profileSetup.bioLabel,Tiểu sử *
idolPortal.profileSetup.bioPlaceholder,Mô tả ngắn về thần tượng...
idolPortal.profileSetup.debutLabel,Ngày ra mắt
idolPortal.profileSetup.facebookPlaceholder,https://facebook.com/yourpage
idolPortal.profileSetup.tiktokPlaceholder,https://tiktok.com/@yourname
idolPortal.profileSetup.youtubePlaceholder,Link kênh YouTube
idolPortal.profileSetup.spotifyPlaceholder,Link Spotify
idolPortal.profileSetup.submit,Hoàn tất
idolPortal.profileSetup.sections.basicInfo,Thông tin cơ bản
idolPortal.profileSetup.sections.socialLinks,Mạng xã hội
idolPortal.profileSetup.errorStageNameRequired,*Vui lòng nhập tên nghệ danh
idolPortal.profileSetup.errorBioRequired,*Vui lòng nhập tiểu sử
idolPortal.profileSetup.errorBioMaxLength,*Tiểu sử tối đa 300 ký tự
idolPortal.profileSetup.errorAvatarRequired,*Vui lòng chọn ảnh đại diện
idolPortal.profileSetup.errorInvalidUrl,*Liên kết không hợp lệ
idolPortal.dashboard.title,Thống kê
idolPortal.dashboard.fandomData,Thống kê tài khoản
idolPortal.dashboard.overview,Tổng quan
idolPortal.dashboard.quickAccess,Truy cập nhanh
idolPortal.dashboard.filterDaily,Hôm nay
idolPortal.dashboard.filterWeekly,1 Tuần qua
idolPortal.dashboard.filterMonthly,1 Tháng qua
idolPortal.dashboard.filterYearly,1 Năm qua
idolPortal.dashboard.filterCustom,Chọn ngày
idolPortal.dashboard.loadError,Không tải được bảng điều khiển. Vui lòng thử lại.
idolPortal.dashboard.pendingProjectsTitle,{{count}} Chiến dịch chờ duyệt
idolPortal.dashboard.todoView,Xem
idolPortal.dashboard.metrics.newFollowers.label,Người theo dõi
idolPortal.dashboard.metrics.unfollowers.label,Người bỏ theo dõi
idolPortal.dashboard.metrics.posts.label,Bài đăng
idolPortal.dashboard.metrics.events.label,Sự kiện
idolPortal.dashboard.metrics.giftStars.label,Quà tặng
idolPortal.dashboard.metrics.pendingProjects.label,Dự án
idolPortal.dashboard.metrics.pendingProjects.footer,Dự án chờ duyệt
idolPortal.dashboard.metrics.total,Tổng: {{count}}
idolPortal.dashboard.metrics.giftStarsValue,{{count}} sao
idolPortal.dashboard.metrics.giftStarsTotal,Tổng số: {{count}} sao
idolPortal.dashboard.gifts.title,Tặng quà
idolPortal.dashboard.gifts.eventTitle,Sự kiện tặng quà
idolPortal.dashboard.gifts.defaultTitle,Góc quà mặc định
idolPortal.dashboard.gifts.giftsCount,Lượt tặng: {{count}}
idolPortal.dashboard.gifts.fanCount,Fan tặng: {{count}}
idolPortal.dashboard.gifts.starsReceived,Sao nhận: {{count}}
idolPortal.tabs.dashboard,Thống kê
idolPortal.tabs.projects,Chiến dịch
idolPortal.tabs.gamehub,Kho game
idolPortal.tabs.profile,Cá nhân
idolPortal.hub.editProfile,Chỉnh sửa
idolPortal.hub.postStatus.published,Đã đăng
idolPortal.hub.postStatus.draft,Nháp
idolPortal.hub.postStatus.scheduled,Bài đăng đã lên lịch
idolPortal.hub.scheduledFor,Hẹn đăng {{datetime}}
idolPortal.createPost.title,Bài viết mới
idolPortal.createPost.sectionTitle,Đăng bài
idolPortal.createPost.prompt,Bạn đang nghĩ gì...
idolPortal.createPost.inputPlaceholder,Bạn đang nghĩ gì?
idolPortal.createPost.addMediaA11y,Thêm ảnh
idolPortal.createPost.addMediaLoadingA11y,Đang thêm ảnh
idolPortal.createPost.changeCover,Đổi ảnh bìa
idolPortal.createPost.schedule,Hẹn giờ
idolPortal.createPost.publish,Đăng
idolPortal.createPost.previewTitle,Xem trước bài đăng
idolPortal.createPost.previewPublish,Hoàn tất
idolPortal.createPost.previewSaveDraft,Lưu nháp
idolPortal.createPost.errorContentRequired,Vui lòng nhập nội dung bài đăng.
idolPortal.createPost.errorMaxImages,Bạn chỉ có thể đính kèm tối đa 10 ảnh.
idolPortal.createPost.errorSubmitFailed,Không thể tạo bài đăng. Vui lòng thử lại.
idolPortal.createPost.removeImageA11y,Xóa ảnh
idolPortal.createPost.editTitle,Chỉnh sửa bài đăng
idolPortal.createPost.save,Lưu
idolPortal.createPost.errorUpdateFailed,Không thể cập nhật bài đăng. Vui lòng thử lại.
idolPortal.createPost.unsavedNewPostTitle,Lưu nháp?
idolPortal.createPost.unsavedNewPostMessage,Bạn có thay đổi chưa lưu. Lưu nháp hay bỏ các thay đổi?
idolPortal.createPost.unsavedKeepEditing,Tiếp tục chỉnh sửa
idolPortal.createPost.unsavedSaveDraft,Lưu nháp
idolPortal.createPost.unsavedDiscard,Bỏ
idolPortal.createPost.unsavedEditTitle,Bỏ thay đổi?
idolPortal.createPost.unsavedEditMessage,Các thay đổi chưa lưu sẽ bị mất.
idolPortal.createEvent.title,Tạo sự kiện
idolPortal.createEvent.editTitle,Sửa sự kiện
idolPortal.createEvent.sectionTitle,Mô tả sự kiện
idolPortal.createEvent.nameLabel,Tên Sự Kiện
idolPortal.createEvent.namePlaceholder,VD: Fan meeting Hà Nội
idolPortal.createEvent.timeLabel,Thời gian
idolPortal.createEvent.timePlaceholder,HH:MM
idolPortal.createEvent.descriptionPlaceholder,Mô tả sự kiện...
idolPortal.createEvent.linkLabel,Liên kết sự kiện
idolPortal.createEvent.linkPlaceholder,https://
idolPortal.createEvent.featuredLabel,Lưu thành sự kiện nổi bật
idolPortal.createEvent.featuredInfoBanner,Chỉ có thể thêm 1 sự kiện nổi bật trên trang thần tượng. Sự kiện mới thêm sẽ tự động thay thế sự kiện cũ
idolPortal.createEvent.save,Lưu sự kiện
idolPortal.createEvent.cancel,Hủy
idolPortal.createEvent.createButton,Tạo sự kiện
idolPortal.createEvent.bannerCropTitle,Xem trước ảnh
idolPortal.createEvent.bannerCropHint,Chụm và kéo để căn chỉnh ảnh
idolPortal.createEvent.editAction,Sửa
idolPortal.createEvent.deleteAction,Xóa
idolPortal.createEvent.deleteConfirmTitle,Xóa sự kiện?
idolPortal.createEvent.deleteConfirmMessage,Sự kiện này sẽ bị xóa và không thể khôi phục.
idolPortal.createEvent.errorNameRequired,Vui lòng nhập tên sự kiện
idolPortal.createEvent.errorTimeRequired,Vui lòng chọn thời gian
idolPortal.createEvent.errorDateRequired,Vui lòng chọn ngày
idolPortal.createEvent.errorStartDateFuture,Ngày bắt đầu phải sau ngày hôm nay
idolPortal.createEvent.errorInvalidLink,Nhập URL https:// hợp lệ
idolPortal.createEvent.errorSubmitFailed,Không thể lưu sự kiện. Vui lòng thử lại.
idolPortal.createEvent.errorDeleteFailed,Không thể xóa sự kiện. Vui lòng thử lại.
idolPortal.schedulePost.title,Hẹn giờ bài đăng
idolPortal.schedulePost.selectDateTime,Chọn ngày giờ
idolPortal.schedulePost.next,Tiếp theo
idolPortal.schedulePost.errorPastDateTime,Vui lòng chọn thời điểm cách hiện tại ít nhất 1 phút
idolPortal.postMore.moreButton,Thêm
idolPortal.postMore.pinPost,Ghim bài đăng
idolPortal.postMore.pin,Ghim
idolPortal.postMore.unpinPost,Bỏ ghim bài đăng
idolPortal.postMore.unpin,Bỏ ghim
idolPortal.postMore.editPost,Chỉnh sửa bài đăng
idolPortal.postMore.edit,Chỉnh sửa
idolPortal.postMore.deletePost,Xóa bài đăng
idolPortal.postMore.delete,Xóa
idolPortal.postMore.deleteConfirmTitle,Xóa bài đăng này?
idolPortal.postMore.deleteConfirmBody,Bài đăng sẽ bị xóa vĩnh viễn.
idolPortal.postMore.deleteConfirmAction,Xóa
idolPortal.postMore.errorPinFailed,Không thể cập nhật trạng thái ghim. Vui lòng thử lại.
idolPortal.postMore.errorPinLimitReached,Tối đa 3 bài ghim. Hãy bỏ ghim một bài để ghim bài khác.
idolPortal.postMore.pinnedA11y,Bài đăng đã ghim
idolPortal.postMore.errorDeleteFailed,Không thể xóa bài đăng. Vui lòng thử lại.
idolPortal.postStatistics.statisticButton,Thống kê
idolPortal.postStatistics.views,Lượt xem
idolPortal.postStatistics.interactions,Lượt tương tác
idolPortal.postStatistics.loadError,Không tải được thống kê bài viết. Vui lòng thử lại.
idolPortal.projects.infoBanner,Dự án đã được quét tự động. Bạn cần duyệt lần cuối trước khi công khai
idolPortal.projects.viewDetails,Chi tiết dự án
idolPortal.projects.tabs.PENDING,Chờ duyệt
idolPortal.projects.tabs.APPROVED,Đã duyệt
idolPortal.projects.tabs.ONLIVE,Đang diễn ra
idolPortal.projects.tabs.REJECTED,Từ chối
idolPortal.projects.tabs.FINISHED,Hoàn thành
idolPortal.projects.status.PENDING,Chiến dịch đang chờ duyệt
idolPortal.projects.status.APPROVED,Chiến dịch đã duyệt
idolPortal.projects.status.ONLIVE,Chiến dịch đang diễn ra
idolPortal.projects.status.REJECTED,Chiến dịch bị từ chối
idolPortal.projects.status.FINISHED,Chiến dịch đã hoàn thành
idolPortal.projects.empty.PENDING,Chưa có dự án chờ duyệt.
idolPortal.projects.empty.APPROVED,Chưa có dự án đã duyệt.
idolPortal.projects.empty.ONLIVE,Chưa có dự án đang diễn ra.
idolPortal.projects.empty.REJECTED,Chưa có dự án bị từ chối.
idolPortal.projects.empty.FINISHED,Chưa có dự án đã hoàn thành.
idolPortal.projects.actions.approve,Duyệt
idolPortal.projects.actions.reject,Từ chối
idolPortal.projects.rejectForm.reasonTitle,Lý do từ chối
idolPortal.projects.rejectForm.reasons.schedule,Không phù hợp lịch trình hoạt động
idolPortal.projects.rejectForm.reasons.budget,Mục tiêu tài chính chưa khả thi
idolPortal.projects.rejectForm.reasons.other,Lý do khác
idolPortal.projects.rejectForm.otherPlaceholder,Nhập nội dung...
idolPortal.projects.rejectForm.noteTitle,Ghi chú gửi fan
idolPortal.projects.rejectForm.notePlaceholder,Nhập nội dung...
idolPortal.projects.rejectForm.fanNotice,Fan sẽ nhận thông báo từ chối kèm lý do này.
idolPortal.projects.moderationSheet.approve.title,Duyệt dự án này?
idolPortal.projects.moderationSheet.approve.description,"""{{title}}"" sẽ được công khai với fan sau khi duyệt."
idolPortal.projects.moderationSheet.approve.confirm,Duyệt
idolPortal.projects.moderationSheet.reject.title,Từ chối dự án này?
idolPortal.projects.moderationSheet.reject.description,"""{{title}}"" sẽ được đánh dấu là đã từ chối."
idolPortal.projects.moderationSheet.reject.confirm,Từ chối
idolPortal.projects.moderationSheet.rejectInput.title,Nhập lý do từ chối
idolPortal.projects.moderationSheet.rejectInput.description,Vui lòng nhập lý do trước khi từ chối dự án fan này.
idolPortal.projects.moderationSheet.rejectInput.confirm,Gửi từ chối
idolPortal.projects.moderationSheet.rejectReason.label,Lý do từ chối
idolPortal.projects.moderationSheet.rejectReason.placeholder,Nhập lý do từ chối
idolPortal.projects.moderationSheet.rejectNote.label,Ghi chú thêm (không bắt buộc)
idolPortal.projects.moderationSheet.rejectNote.placeholder,Thêm ghi chú cho ban tổ chức
idolPortal.projects.moderationSheet.success.approveTitle,Đã duyệt dự án
idolPortal.projects.moderationSheet.success.approveDescription,Dự án này sẽ được công khai với fan.
idolPortal.projects.moderationSheet.success.approveAwaitingAdminDescription,Phê duyệt của bạn đã được ghi nhận. Dự án đang chờ quản trị viên phê duyệt trước khi công khai.
idolPortal.projects.moderationSheet.success.awaitingAdminStatusLabel,Đang chờ phê duyệt từ
idolPortal.projects.moderationSheet.success.awaitingAdminStatusValue,Quản trị viên
idolPortal.projects.moderationSheet.success.rejectTitle,Đã từ chối dự án
idolPortal.projects.moderationSheet.success.rejectDescription,Dự án này đã được đánh dấu từ chối.
idolPortal.projects.moderationSheet.success.statusLabel,Trạng thái
idolPortal.projects.moderationSheet.success.done,Xong
onboarding.profileTitle,Tạo tài khoản
onboarding.profileSubtitle,Chọn ảnh đại diện và tên hiển thị
onboarding.fandomTitle,Tham gia cùng thần tượng bạn yêu
onboarding.fandomSubtitle,Chọn ít nhất 1 fandom để bảng tin của bạn được cá nhân hóa
onboarding.fandomSearchTitle,Tìm fandom
onboarding.follow,Theo dõi
onboarding.usernameLabel,Nhập tên của bạn
onboarding.usernamePlaceholder,Tên tài khoản
onboarding.errorLength,*Tên cần có 5 đến 15 ký tự
onboarding.errorCharset,"*Chỉ dùng chữ, số, dấu gạch dưới và dấu gạch ngang"
onboarding.errorNoLetter,*Tên cần có ít nhất 1 chữ cái
onboarding.errorUsernameTaken,*Tên này đã được sử dụng
onboarding.errorFollowFailed,Không cập nhật được theo dõi. Vui lòng thử lại.
onboarding.errorCompleteFailed,Không hoàn tất được thiết lập. Vui lòng thử lại.
onboarding.errorAvatarUploadContinue,Bạn vẫn có thể tiếp tục thiết lập và thêm ảnh sau trong trang cá nhân.
onboarding.avatarPickerTitle,Chọn ảnh đại diện
onboarding.avatarFromGallery,Chọn từ thư viện
onboarding.avatarFromCamera,Chụp ảnh mới
onboarding.avatarChange,Đổi ảnh
onboarding.avatarEmptyA11y,Thêm ảnh đại diện
onboarding.avatarPickFailed,Không chọn được ảnh
onboarding.avatarPickTryAgain,Hãy thử lại hoặc kiểm tra quyền truy cập ảnh và camera trong Cài đặt.
onboarding.cameraPermissionDenied,Ứng dụng cần quyền camera để chụp ảnh đại diện.
onboarding.chooseFandomHint,Chọn ít nhất 1 fandom
onboarding.searchPlaceholder,Nhập tên thần tượng
onboarding.searchEmpty,Không tìm thấy fandom phù hợp
onboarding.selected,Đã chọn
onboarding.idolsSelected,Đã chọn {{count}} thần tượng
onboarding.skipDev,Bỏ qua onboarding (dev)
tabs.home,Trang chủ
tabs.projects,Chiến dịch
tabs.chat,Phòng tám
tabs.merch,Cửa hàng
tabs.profile,Cá nhân
chatLobby.title,Phòng tám
chatLobby.searchPlaceholder,Nhập tên thần tượng
chatLobby.enterRoom,Vào phòng
chatLobby.activeNow,Đang hoạt động
chatLobby.upcoming,Mở khi sự kiện bắt đầu
chatLobby.empty,Chưa có phòng chat.
chatLobby.emptySearch,Không tìm thấy phòng phù hợp.
journeyBook.title,Sổ hành trình
journeyBook.bookTitle,Nhật ký đu thần tượng
journeyBook.subtitle,Những khoảnh khắc đưa tôi đi xa hơn
journeyBook.empty,Chưa có stamp. Quét QR sự kiện để bắt đầu.
journeyBook.filter,Lọc
journeyBook.scanFab,Quét QR sự kiện
journeyBook.scanTitle,Quét mã QR sự kiện
journeyBook.scanHint,Hướng camera vào mã QR tại sự kiện để nhận stamp
journeyBook.enterCodePlaceholder,Mã sự kiện
journeyBook.receivedStamp.title,Chúc Mừng!
journeyBook.receivedStamp.message,Bạn đã nhận được
journeyBook.receivedStamp.goToBook,Đến Sổ hành trình
journeyBook.detailsTitle,Thông tin Stamp
journeyBook.joinEventChat,Vào locket chat
journeyBook.chatClosed,Chat đã đóng
journeyBook.viewEventDetails,Chi tiết sự kiện
journeyBook.statusLabel,Trạng thái
journeyBook.liveBadge,Đang diễn ra
journeyBook.upcomingBadge,Sắp diễn ra
journeyBook.endedBadge,Đã kết thúc
journeyBook.verified,Đã xác thực
journeyBook.eventIsActive,Sự kiện đang diễn ra
journeyBook.eventUpcoming,Sự kiện sắp diễn ra
journeyBook.eventEnded,Sự kiện đã kết thúc
journeyBook.attendeeCount,{{count}} người tham gia
journeyBook.pageProgress,{{current}} / {{total}}
journeyBook.ownedStamp.title,Chúc Mừng!
journeyBook.ownedStamp.message,Bạn đã sở hữu Stamp này rồi!
journeyBook.ownedStamp.goToBook,Đến Sổ hành trình
journeyBook.ownedStamp.enterChat,Vào Phòng tám
journeyBook.errors.emptyPayload,Không đọc được mã. Thử lại.
journeyBook.errors.emptyPool,Hiện không còn stamp để nhận.
journeyBook.errors.claimMissing,Không mở được stamp này.
journeyBook.errors.invalidCode,Mã sự kiện không hợp lệ.
journeyBook.errors.notStarted,Sự kiện chưa bắt đầu.
journeyBook.errors.ended,Sự kiện đã kết thúc.
digitalMerch.title,Cửa hàng
digitalMerch.empty,Chưa có vật phẩm từ các thần tượng bạn theo dõi.
store.hero.title,Mua sắm ngay
store.empty,Chưa có sản phẩm.
store.categories.ecard,E-Card
store.categories.sticker,Nhãn dán
store.categories.decoration,Vật phẩm Trang trí
store.categories.gift,Quà tặng
store.sale,SALE
store.salePercent,SALE {{percent}}%
store.owned,Đã sở hữu
store.purchaseSuccess,Thanh toán thành công
store.purchaseFailed,Không thể hoàn tất giao dịch. Vui lòng thử lại.
idol.follow,Theo dõi
idol.following,Đang theo dõi
feed.title,Bảng tin
feed.heartPostA11y,Tim bài viết
feed.heartError,Không thể cập nhật tim. Thử lại.
feed.removeReactionA11y,Bỏ {{type}}
feed.reactions.heart,Tim
feed.reactions.love,Yêu
feed.reactions.wow,Wow
feed.reactions.smile,Cười
feed.reactions.dismissA11y,Đóng cảm xúc
feed.empty,Chưa có bài đăng nào. Hãy đón chờ!
feed.sendGift,Tặng quà
feed.showMore,Xem thêm
feed.showLess,Thu gọn
search.clear,Xóa tìm kiếm
search.globalTitle,Tìm kiếm
search.globalPlaceholder,"Tìm thần tượng, fan, bài đăng…"
search.globalEmpty,Chưa có kết quả. Thử từ khóa khác.
idolFilter.title,Lọc theo thần tượng
idolFilter.searchPlaceholder,Nhập tên thần tượng
idolFilter.empty,Chưa có thần tượng
idolFilter.searchEmpty,Không tìm thấy thần tượng
home.openProfileA11y,Mở hồ sơ
home.openNotificationsA11y,Mở thông báo
home.openSettingsA11y,Mở cài đặt
home.openSearchA11y,Tìm kiếm
home.stripAddA11y,Thêm fandom
home.likeCount,{{count}} lượt thích
home.exploreYourIdolHub,Khám phá thần tượng của bạn
home.campaigns.typeEvent,Sự kiện
home.campaigns.typeDefault,Mặc định
home.campaigns.giveAnytime,Tặng bất cứ lúc nào
fanProjects.title,Chiến dịch
fanProjects.create.title,Tạo chiến dịch
fanProjects.create.subtitle,Hãy khởi động một dự án của người hâm mộ dành cho thần tượng của bạn
fanProjects.create.a11y,Tạo chiến dịch
fanProjects.edit.title,Chỉnh sửa dự án
fanProjects.tabs.PENDING,Chờ duyệt
fanProjects.tabs.APPROVED,Đã duyệt
fanProjects.tabs.ONLIVE,Đang diễn ra
fanProjects.tabs.REJECTED,Từ chối
fanProjects.tabs.FINISHED,Hoàn thành
fanProjects.join,Tham gia
fanProjects.leave,Rời
fanProjects.joinError,Không thể cập nhật trạng thái tham gia. Vui lòng thử lại.
fanProjects.target,Mục tiêu: {{count}}
fanProjects.participants,{{count}} tham gia
fanProjects.empty,Chưa có dự án fan ở trạng thái này.
fanProjects.detail.status.PENDING,Chờ duyệt
fanProjects.detail.status.APPROVED,Đã duyệt
fanProjects.detail.status.ONLIVE,Đang diễn ra
fanProjects.detail.status.REJECTED,Từ chối
fanProjects.detail.status.FINISHED,Hoàn thành
fanProjects.detail.verified,Đã xác thực
fanProjects.detail.organizer,Người tổ chức:
fanProjects.detail.timelineMeta,Thời gian:
fanProjects.detail.statsTarget,Mục tiêu
fanProjects.detail.statsDaysLeft,Thời gian còn lại
fanProjects.detail.statsDaysLeftValue,{{count}} ngày
fanProjects.detail.statsParticipants,Người tham gia
fanProjects.detail.aboutTitle,Về chiến dịch này
fanProjects.detail.purposeTitle,Mục đích chiến dịch
fanProjects.detail.timelineTitle,Mốc thời gian
fanProjects.detail.timelineStart,Ngày bắt đầu
fanProjects.detail.timelineEnd,Ngày kết thúc
fanProjects.detail.contactTitle,Liên hệ ban tổ chức
fanProjects.detail.contactIntro,Liên hệ với {{name}} để tham gia chiến dịch này
fanProjects.detail.attachmentsTitle,Tệp đính kèm
fanProjects.detail.noteTitle,Lưu ý quan trọng
fanProjects.detail.contactCta,Liên hệ
fanProjects.detail.awaitingAdminApproval,Đang chờ quản trị viên phê duyệt
fanProjects.detail.awaitingIdolApproval,Đang chờ thần tượng phê duyệt
fanProjects.detail.channels.facebook,Facebook
fanProjects.detail.channels.phone,Điện thoại
